Date,Average Price
04/01/2015,0.957502421
11/01/2015,1.019967158
18/01/2015,1.044620194
25/01/2015,1.052523955
01/02/2015,0.902666732
08/02/2015,0.96230322
15/02/2015,1.040538967
22/02/2015,1.032222863
01/03/2015,0.980643127
08/03/2015,1.035286409
15/03/2015,1.054968308
22/03/2015,1.019733399
29/03/2015,1.05547642
05/04/2015,1.073954541
12/04/2015,1.036562642
19/04/2015,1.042803314
26/04/2015,1.08340701
03/05/2015,0.966200767
10/05/2015,1.026309805
17/05/2015,1.072516438
24/05/2015,1.0525833
31/05/2015,1.042885273
07/06/2015,1.01277147
14/06/2015,0.990521754
21/06/2015,1.029248167
28/06/2015,1.07093992
05/07/2015,1.050270641
12/07/2015,1.075307479
19/07/2015,1.076573865
26/07/2015,1.080479169
02/08/2015,1.097868007
09/08/2015,1.053328104
16/08/2015,1.065211354
23/08/2015,1.093750426
30/08/2015,1.080017615
06/09/2015,1.031022252
13/09/2015,1.045232198
20/09/2015,1.031668337
27/09/2015,1.04385594
04/10/2015,1.039363565
11/10/2015,1.016224257
18/10/2015,1.002218805
25/10/2015,1.056447916
01/11/2015,0.977596082
08/11/2015,0.983605434
15/11/2015,0.933228801
22/11/2015,0.973458509
29/11/2015,0.998803936
06/12/2015,0.898563193
13/12/2015,0.937887691
20/12/2015,0.990421208
27/12/2015,0.956505344
03/01/2016,0.870412418
10/01/2016,0.938033183
17/01/2016,0.952425788
24/01/2016,0.958135648
31/01/2016,0.940111839
07/02/2016,0.76898476
14/02/2016,0.888632141
21/02/2016,0.952213732
28/02/2016,0.921464996
06/03/2016,0.959577501
13/03/2016,0.939890269
20/03/2016,0.938846624
27/03/2016,0.950784402
03/04/2016,0.951914972
10/04/2016,0.908902522
17/04/2016,0.914758373
24/04/2016,0.888018781
01/05/2016,0.853884439
08/05/2016,0.829994584
15/05/2016,0.906256644
22/05/2016,0.944314529
29/05/2016,0.954432456
05/06/2016,0.980915264
12/06/2016,1.054863245
19/06/2016,1.036838124
26/06/2016,1.050087449
03/07/2016,1.072160293
10/07/2016,1.112916328
17/07/2016,1.16763216
24/07/2016,1.21625019
31/07/2016,1.241301847
07/08/2016,1.161297598
14/08/2016,1.130704074
21/08/2016,1.111416624
28/08/2016,1.098962305
04/09/2016,1.05832505
11/09/2016,1.092268112
18/09/2016,1.1647071
25/09/2016,1.232009551
02/10/2016,1.246036341
09/10/2016,1.282179298
16/10/2016,1.305494977
23/10/2016,1.351335413
30/10/2016,1.452603989
06/11/2016,1.453879421
13/11/2016,1.374110216
20/11/2016,1.280216556
27/11/2016,1.221520171
04/12/2016,1.012905155
11/12/2016,0.991220729
18/12/2016,0.975218502
25/12/2016,1.008578103
01/01/2017,0.906673628
08/01/2017,1.001635231
15/01/2017,0.993905187
22/01/2017,0.946236207
29/01/2017,0.968445965
05/02/2017,0.782289099
12/02/2017,0.885096502
19/02/2017,1.011414108
26/02/2017,1.004761941
05/03/2017,1.130753274
12/03/2017,1.232220296
19/03/2017,1.262868234
26/03/2017,1.245833035
02/04/2017,1.22299175
09/04/2017,1.219712756
16/04/2017,1.245631113
23/04/2017,1.196182495
30/04/2017,1.200641663
07/05/2017,1.10460913
14/05/2017,1.204042505
21/05/2017,1.278293805
28/05/2017,1.294104741
04/06/2017,1.256606792
11/06/2017,1.227264195
18/06/2017,1.19810902
25/06/2017,1.183442415
02/07/2017,1.226726971
09/07/2017,1.183646085
16/07/2017,1.347286834
23/07/2017,1.329124945
30/07/2017,1.339191657
06/08/2017,1.345667155
13/08/2017,1.346914213
20/08/2017,1.43632576
27/08/2017,1.49886956
03/09/2017,1.595184144
10/09/2017,1.581512873
17/09/2017,1.589990591
24/09/2017,1.632091336
01/10/2017,1.655395224
08/10/2017,1.659579347
15/10/2017,1.590773773
22/10/2017,1.45733892
29/10/2017,1.307452325
05/11/2017,1.211088201
12/11/2017,1.173617386
19/11/2017,1.192746655
26/11/2017,1.260395444
03/12/2017,1.106742158
10/12/2017,1.047828651
17/12/2017,1.092426103
24/12/2017,1.202661997
31/12/2017,0.999820062
07/01/2018,1.153575835
14/01/2018,1.223502777
21/01/2018,1.101310968
28/01/2018,1.111199554
04/02/2018,0.887491348
11/02/2018,0.993683341
18/02/2018,1.105706741
25/02/2018,1.082475025
04/03/2018,1.090295122
11/03/2018,1.110899999
18/03/2018,1.072436251
25/03/2018,1.055488099
