x,y
1,3.956568625
11.09090909,7.814369872
21.18181818,4.902492891
31.27272727,1.061062334
41.36363636,9.081311869
51.45454545,1.385351036
61.54545455,6.850036909
71.63636364,1.149535076
81.72727273,2.79720605
91.81818182,1.855773646
101.9090909,6.525705287
112,5.171378669
122.0909091,6.744012952
132.1818182,2.831676911
142.2727273,3.095450148
152.3636364,1.756822381
162.4545455,0.568408509
172.5454545,2.401945427
182.6363636,-0.128234752
192.7272727,1.936907761
202.8181818,-0.920025962
212.9090909,2.468297867
223,0.112346069
233.0909091,-3.56131273
243.1818182,-1.642940046
253.2727273,2.122231336
263.3636364,3.047974629
273.4545455,0.994312755
283.5454545,-3.393870971
293.6363636,0.578122771
303.7272727,3.895704659
313.8181818,-4.278073347
323.9090909,-0.504974904
334,1.031410597
344.0909091,-1.094523977
354.1818182,3.75636849
364.2727273,-0.480636052
374.3636364,-3.122045663
384.4545455,-0.301601869
394.5454545,-2.211489556
404.6363636,-3.792997225
414.7272727,-6.23029383
424.8181818,-1.62792707
434.9090909,0.210297988
445,-4.568771225
455.0909091,-0.085663673
465.1818182,-5.052265987
475.2727273,0.737653594
485.3636364,-1.771547319
495.4545455,-3.514582702
505.5454545,-3.334995202
515.6363636,-2.850783481
525.7272727,-5.551333058
535.8181818,-7.572777314
545.9090909,-3.454256219
556,-8.179940428
566.0909091,-4.412717386
576.1818182,-0.995264723
586.2727273,-4.207211265
596.3636364,-7.627277391
606.4545455,-9.559572402
616.5454545,-5.432379781
626.6363636,-9.52478961
636.7272727,-5.835649621
646.8181818,-7.973290211
656.9090909,-9.351848791
667,-9.55595152
677.0909091,-5.207338854
687.1818182,-9.325760509
697.2727273,-10.36924563
707.3636364,-12.20216097
717.4545455,-6.03245569
727.5454545,-4.93355777
737.6363636,-10.72768784
747.7272727,-6.596495765
757.8181818,-13.58155675
767.9090909,-8.598525149
778,-9.831027433
788.0909091,-12.94325927
798.1818182,-7.781816953
808.2727273,-12.95841088
818.3636364,-13.97502423
828.4545455,-8.579037319
838.5454545,-10.61502296
848.6363636,-14.70571536
858.7272727,-12.31297627
868.8181818,-9.929072009
878.9090909,-16.15953433
889,-10.57069963
899.0909091,-13.58044821
909.1818182,-14.25673048
919.2727273,-9.990562136
929.3636364,-17.4852187
939.4545455,-17.08373594
949.5454545,-17.86746913
959.6363636,-15.88901431
969.7272727,-13.14007715
979.8181818,-9.664944542
989.9090909,-10.11952738
1000,-13.38787814
